group,subject,task,task_number,frequency,tap,DT,period,relphase
French,FR01,sync,2,1.9,6,100,0.524000000000001,-0.0954891384069327
French,FR01,sync,2,1.9,7,100,0.530000000000001,-0.0548854014679137
French,FR01,sync,2,1.9,8,100,0.541999999999994,0.12179492613686
French,FR01,sync,2,1.9,9,100,0.534000000000006,0.214768962265929
French,FR01,sync,2,1.9,10,100,0.545999999999999,0.446072760988133
French,FR01,sync,2,1.9,11,100,0.506,0.198064709645282
French,FR01,sync,2,1.9,12,100,0.517999999999994,0.0954891384069327
French,FR01,sync,2,1.9,13,100,0.522000000000006,0.0429211899542374
French,FR01,sync,2,1.9,14,100,0.525999999999996,0.0310339699822824
French,FR01,sync,2,1.9,15,100,0.536000000000001,0.168472221423277
French,FR01,sync,2,2.2,1,88.8888888888889,NaN,1.28026425585736
French,FR01,sync,2,2.2,2,88.8888888888889,0.427999999999997,0.886482137545459
French,FR01,sync,2,2.2,3,88.8888888888889,0.398000000000003,0.132626602790056
French,FR01,sync,2,2.2,4,88.8888888888889,0.463999999999999,0.259727097130539
French,FR01,sync,2,2.2,5,88.8888888888889,0.433999999999997,-0.027630542247965
French,FR01,sync,2,2.2,6,88.8888888888889,0.475999999999999,0.265253205580112
French,FR01,sync,2,2.2,7,88.8888888888889,0.452000000000005,0.22647085502807
French,FR01,sync,2,2.2,8,88.8888888888889,0.454000000000001,0.212474865460175
French,FR01,sync,2,2.2,9,88.8888888888889,0.469999999999999,0.415005634556131
French,FR01,sync,2,2.2,10,88.8888888888889,0.43,0.0801285725190106
French,FR01,sync,2,2.2,11,88.8888888888889,0.475999999999999,0.372520868014616
French,FR01,sync,2,2.2,12,88.8888888888889,0.442,0.187887687285984
French,FR01,sync,2,2.2,13,88.8888888888889,0.494,0.730088433580696
French,FR01,sync,2,2.2,14,88.8888888888889,0.472000000000001,0.972595087127177
French,FR01,sync,2,2.2,15,88.8888888888889,0.427999999999997,0.684524936014538
French,FR01,sync,2,2.5,1,100,NaN,1.52919102678485
French,FR01,sync,2,2.5,2,100,0.396000000000001,1.46325055129722
French,FR01,sync,2,2.5,3,100,0.333999999999996,0.423903056706175
French,FR01,sync,2,2.5,4,100,0.410000000000004,0.57747557268783
French,FR01,sync,2,2.5,5,100,0.380000000000003,0.257481856666101
French,FR01,sync,2,2.5,6,100,0.407999999999994,0.37994273971451
French,FR01,sync,2,2.5,7,100,0.432000000000002,0.879206339835187
French,FR01,sync,2,2.5,8,100,0.393999999999998,0.781865637924863
French,FR01,sync,2,2.5,9,100,0.434000000000005,1.31252946446835
French,FR01,sync,2,2.5,10,100,0.350000000000001,0.524121851298215
French,FR01,sync,2,2.5,11,100,0.379999999999995,0.204101471747538
French,FR01,sync,2,2.5,12,100,0.408000000000001,0.32656235479585
French,FR01,sync,2,2.5,13,100,0.418000000000006,0.606024369957892
French,FR01,sync,2,2.5,14,100,0.384,0.351682535934164
French,FR01,sync,2,2.5,15,100,0.415999999999997,0.670815200487096
French,FR01,sync,2,2.8,1,66.6666666666667,NaN,1.09700829090091
French,FR01,sync,2,2.8,2,66.6666666666667,0.341999999999999,0.8253485451018
French,FR01,sync,2,2.8,3,66.6666666666667,0.340000000000003,0.513631049747088
French,FR01,sync,2,2.8,4,66.6666666666667,0.358000000000004,0.528294728742688
French,FR01,sync,2,2.8,5,66.6666666666667,0.343999999999994,0.302211373835063
French,FR01,sync,2,2.8,6,66.6666666666667,0.340000000000003,-0.00702817148452484
French,FR01,sync,2,2.8,7,66.6666666666667,0.382000000000005,0.425442317945703
